A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME
1	0	1	1	   1	   2	  -1	  -1		-2.50	15:44:51.176792
0	0	1	0	   0	   1	  -1	  -2		-5.00	15:44:51.325596
0	1	0	0	   3	   0	  -1	  -3		-7.49	15:44:51.435239
1	1	0	1	   2	   3	  -1	  -4		-9.99	15:44:51.543186
1	0	1	1	   1	   2	  -1	  -5		-12.49	15:44:52.609955
0	0	1	0	   0	   1	  -1	  -6		-14.99	15:44:53.143479
0	1	0	0	   3	   0	  -1	  -7		-17.48	15:44:53.275606
1	1	0	1	   2	   3	  -1	  -8		-19.98	15:44:53.394895
1	0	1	1	   1	   2	  -1	  -9		-22.48	15:44:54.187579
1	1	1	0	   2	   1	   1	  -8		-19.98	15:44:54.649824
1	0	1	1	   1	   2	  -1	  -9		-22.48	15:44:55.014517
0	0	1	0	   0	   1	  -1	 -10		-24.98	15:44:55.267225
