
A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	Name	Address	Quality	Signal	Channel	Encryption
0	0	0	0	   0	   0	   1	   1		2.50	17:24:42.635419	Imperial-WPA  E0:0E:DA:89:5A:40   54 %    -72 dBm  6        WEP         
1	0	1	0	   1	   1	   1	   2		5.00	17:24:42.712055	Imperial-WPA  E0:0E:DA:89:5A:40   54 %    -72 dBm  6        WEP         
1	1	1	1	   2	   2	   1	   3		7.49	17:24:42.773467	Imperial-WPA  E0:0E:DA:89:5A:40   54 %    -72 dBm  6        WEP         
0	1	0	1	   3	   3	   1	   4		9.99	17:24:42.898299	Imperial-WPA  E0:0E:DA:89:5A:40   54 %    -72 dBm  6        WEP         
0	0	0	0	   0	   0	   1	   5		12.49	17:24:42.940918	Imperial-WPA  E0:0E:DA:89:5A:40   54 %    -72 dBm  6        WEP         
1	0	1	0	   1	   1	   1	   6		14.99	17:24:42.978814	Imperial-WPA  E0:0E:DA:89:5A:40   54 %    -72 dBm  6        WEP         
1	1	1	1	   2	   2	   1	   7		17.48	17:24:43.018402	Imperial-WPA  E0:0E:DA:89:5A:40   54 %    -72 dBm  6        WEP         
0	1	0	1	   3	   3	   1	   8		19.98	17:24:43.125277	Imperial-WPA  E0:0E:DA:89:5A:40   54 %    -72 dBm  6        WEP         
0	0	0	0	   0	   0	   1	   9		22.48	17:24:43.172600	Imperial-WPA  E0:0E:DA:89:5A:40   54 %    -72 dBm  6        WEP         
1	0	1	0	   1	   1	   1	  10		24.98	17:24:43.208556	Imperial-WPA  E0:0E:DA:89:5A:40   54 %    -72 dBm  6        WEP         

A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	Name	Address	Quality	Signal	Channel	Encryption
1	1	1	1	   2	   2	   1	  11		27.47	17:24:43.260745	Imperial-WPA  E0:0E:DA:89:5A:40   54 %    -72 dBm  6        WEP         
0	1	0	1	   3	   3	   1	  12		29.97	17:24:43.377221	Imperial-WPA  E0:0E:DA:89:5A:40   54 %    -72 dBm  6        WEP         
0	0	0	0	   0	   0	   1	  13		32.47	17:24:43.418433	Imperial-WPA  E0:0E:DA:89:5A:40   54 %    -72 dBm  6        WEP         
1	0	1	0	   1	   1	   1	  14		34.97	17:24:43.456177	Imperial-WPA  E0:0E:DA:89:5A:40   54 %    -72 dBm  6        WEP         
1	1	1	1	   2	   2	   1	  15		37.46	17:24:43.490867	Imperial-WPA  E0:0E:DA:89:5A:40   54 %    -72 dBm  6        WEP         
0	1	0	1	   3	   3	   1	  16		39.96	17:24:43.568290	Imperial-WPA  E0:0E:DA:89:5A:40   54 %    -72 dBm  6        WEP         
1	0	1	0	   1	   1	   2	  18		44.96	17:24:43.648745	Imperial-WPA  E0:0E:DA:89:5A:40   54 %    -72 dBm  6        WEP         
1	1	1	1	   2	   2	   1	  19		47.45	17:24:43.686403	Imperial-WPA  E0:0E:DA:89:5A:40   54 %    -72 dBm  6        WEP         
0	1	0	1	   3	   3	   1	  20		49.95	17:24:43.790685	Imperial-WPA  E0:0E:DA:89:5A:40   54 %    -72 dBm  6        WEP         
0	0	0	0	   0	   0	   1	  21		52.45	17:24:43.840248	Imperial-WPA  E0:0E:DA:89:5A:40   54 %    -72 dBm  6        WEP         

A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	Name	Address	Quality	Signal	Channel	Encryption
